,state,n_killed,n_injured,Abbreviation,Worship_Numbers,Total_Average,Average_Injured,Average_Killed
0,Alabama,1880,2998,AL,1608,3.033582089552239,1.8644278606965174,1.1691542288557213
1,Alaska,267,325,AK,152,3.8947368421052633,2.138157894736842,1.756578947368421
2,Arizona,1094,1096,AZ,956,2.290794979079498,1.1464435146443515,1.1443514644351465
3,Arkansas,773,1347,AR,612,3.4640522875816995,2.200980392156863,1.2630718954248366
4,California,5562,7644,CA,3513,3.7591801878736124,2.1759180187873612,1.5832621690862512
5,Colorado,796,1133,CO,638,3.023510971786834,1.7758620689655173,1.2476489028213167
6,Connecticut,341,1258,CT,680,2.351470588235294,1.85,0.5014705882352941
7,Delaware,217,853,DE,131,8.16793893129771,6.511450381679389,1.6564885496183206
8,District of Columbia,459,1415,DC,266,7.045112781954887,5.319548872180451,1.7255639097744362
9,Florida,3909,7072,FL,2220,4.946396396396397,3.1855855855855855,1.7608108108108107
10,Georgia,2456,4056,GA,1989,3.274007038712921,2.0392156862745097,1.2347913524384113
11,Hawaii,63,85,HI,145,1.0206896551724138,0.5862068965517241,0.43448275862068964
12,Idaho,166,149,ID,193,1.6321243523316062,0.772020725388601,0.8601036269430051
13,Illinois,3409,13514,IL,1942,8.714212152420185,6.95880535530381,1.755406797116375
14,Indiana,1608,2956,IN,1171,3.897523484201537,2.524338172502135,1.3731853116994022
15,Iowa,273,821,IA,470,2.3276595744680852,1.7468085106382978,0.5808510638297872
16,Kansas,542,931,KS,600,2.455,1.5516666666666667,0.9033333333333333
17,Kentucky,1066,1894,KY,762,3.884514435695538,2.4855643044619424,1.398950131233596
18,Louisiana,2179,4398,LA,981,6.704383282364934,4.483180428134556,2.221202854230377
19,Maine,112,132,ME,280,0.8714285714285714,0.4714285714285714,0.4
20,Maryland,1691,3167,MD,807,6.019826517967782,3.9244114002478314,2.0954151177199503
21,Massachusetts,472,1701,MA,1022,2.1262230919765166,1.6643835616438356,0.461839530332681
22,Michigan,1588,2990,MI,1638,2.7948717948717947,1.8253968253968254,0.9694749694749695
23,Minnesota,461,916,MN,578,2.3823529411764706,1.5847750865051904,0.7975778546712803
24,Mississippi,1176,1883,MS,898,3.406458797327394,2.096881959910913,1.3095768374164811
25,Missouri,2136,3585,MO,964,5.9346473029045645,3.7188796680497926,2.215767634854772
26,Montana,154,136,MT,134,2.1641791044776117,1.0149253731343284,1.1492537313432836
27,Nebraska,225,674,NE,308,2.918831168831169,2.188311688311688,0.7305194805194806
28,Nevada,799,951,NV,225,7.777777777777778,4.226666666666667,3.551111111111111
29,New Hampshire,88,144,NH,216,1.0740740740740742,0.6666666666666666,0.4074074074074074
30,New Jersey,1168,2540,NJ,1386,2.675324675324675,1.8326118326118326,0.8427128427128427
31,New Mexico,495,543,NM,311,3.337620578778135,1.7459807073954985,1.5916398713826367
32,New York,1705,5059,NY,2976,2.2728494623655915,1.6999327956989247,0.5729166666666666
33,North Carolina,2225,4629,NC,2139,3.204301075268817,2.164095371669004,1.040205703599813
34,North Dakota,69,130,ND,77,2.5844155844155843,1.6883116883116882,0.8961038961038961
35,Ohio,2508,5703,OH,1912,4.294456066945607,2.9827405857740588,1.3117154811715481
36,Oklahoma,941,1550,OK,693,3.5945165945165947,2.236652236652237,1.3578643578643579
37,Oregon,446,694,OR,407,2.800982800982801,1.7051597051597052,1.095823095823096
38,Pennsylvania,2395,5056,PA,2084,3.575335892514395,2.4261036468330133,1.149232245681382
39,Rhode Island,63,346,RI,233,1.7553648068669527,1.4849785407725322,0.2703862660944206
40,South Carolina,1610,3084,SC,1610,2.915527950310559,1.9155279503105591,1.0
41,South Dakota,90,114,SD,141,1.446808510638298,0.8085106382978723,0.6382978723404256
42,Tennessee,1824,4478,TN,1436,4.388579387186629,3.118384401114206,1.2701949860724233
43,Texas,5046,6106,TX,3345,3.333931240657698,1.8254110612855008,1.5085201793721974
44,Utah,282,402,UT,711,0.9620253164556962,0.5654008438818565,0.39662447257383965
45,Vermont,57,73,VT,116,1.1206896551724137,0.6293103448275862,0.49137931034482757
46,Virginia,1459,3566,VA,1257,3.9976133651551313,2.8369132856006365,1.1607000795544948
47,Washington,853,1287,WA,770,2.779220779220779,1.6714285714285715,1.1077922077922078
48,West Virginia,335,649,WV,627,1.569377990430622,1.0350877192982457,0.5342902711323764
49,Wisconsin,862,2117,WI,732,4.069672131147541,2.8920765027322406,1.1775956284153006
50,Wyoming,73,52,WY,141,0.8865248226950354,0.36879432624113473,0.5177304964539007
